MAE,Word2vec,BOW-TFIDF,Simple encoder-decoder,Google universal encoder,Skip-Thoughts,InferSent
Digitonomy,0.4192,0.3973,0.3921,0.4325,0.416,0.412
HP,210.5981,215.4916,210.7356,212.8375,246.6867,201.3548
Blackhawk Network,355.2656,362.5687,367.0273,363.3478,368.8844,352.0176
HPE,21.5612,20.5561,20.3592,21.6986,36.7214,24.5632
Samsung,59.6761,57.3306,55.5765,58.8666,58.7861,57.2004
Serenata Flowers,2.699,2.3122,4.2078,3.0337,5.6444,3.3174
Snooze,55.7089,57.1904,54.2043,56.7799,60.9058,55.3575
Subaru,6.6836,6.6104,6.6781,6.4666,6.8931,6.5182
The Holiday Place,6.3274,6.6131,6.6548,6.4542,6.4192,6.2853
Zalora HK,0.984,1.0164,1.0145,0.9913,1.0547,1.0275
Hertz,29.4903,23.6437,23.2047,36.3097,62.695,28.3376
IAG,9.6522,9.4849,9.5618,9.7593,9.1981,10.3593
Hello Fresh,0.1808,0.1924,0.1872,0.1856,0.1946,0.1808
Wargaming,7.6307,8.326,8.2791,7.68,8.4196,7.8637
