MSE,Word2vec,BOW-TFIDF,Simple encoder-decoder,Google universal encoder,Skip-Thoughts,InferSent
Digitonomy,2.99,2.97,2.94,3.0,3.01,2.94
HP,1903507.86,1915205.89,1904510.80,1906074.52,1900998.68,1905618.09
Blackhawk Network,584517.18,584224.76,584115.37,584201.87,584085.26,584692.41
HPE,539.51,464.59,682.57,526.64,1900.91,658.04
Samsung,20022.53,20404.08,19890.95,20043.52,20402.21,20009.53
Serenata Flowers,170.40,175.56,176.84,173.01,187.27,170.32
Snooze,5986.13,5774.05,6174.72,5917.38,6445.64,6413.04
Subaru,47.71,46.70,47.64,44.74,50.68,45.44
The Holiday Place,233.46,239.65,243.84,236.73,246.23,234.46
Zalora,11.63,11.64,11.46,11.58,11.64,11.59
Hertz,1130.47,690.54,1131.59,1793.38,4743.21,985.3
IAG,331.15,352.87,380.51,328.68,368.11,344.20
Hello Fresh,0.085,0.094,0.091,0.087,0.090,0.085
Wargaming,178.43,188.14,188.08,178.79,188.84,180.30
