Pearson-score	Word2vec	BOW-TFIDF	Simple encoder-decoder	Google universal encoder 	Skip-Thoughts	InferSent
Digitonomy_2018-06-01_2018-06-30.csv	0.0736	0.0749	0.129	0.0594	-0.0236	0.131
HP_2018-06-24_2018-07-23.csv 	0.191	0.182	0.118	0.154	0.112	0.177
Blackhawk Network_2018-06-24_2018-07-23.csv 	-9.60E-18	1.60E-17	-9.60E-18	-9.60E-18	nan	-9.60E-18
HPE_2018-06-25_2018-07-24.csv 	0.229	0.294	-0.00802	0.231	-0.0008	0.115
Samsung_2018-06-25_2018-07-24.csv 	0.164	0.2	0.176	0.151	0.0426	0.193
Serenata Flowers_2018-06-25_2018-07-24.csv	0.182	0.13	0.149	0.136	0.0275	0.201
Snooze_2018-06-25_2018-07-24.csv 	0.321	0.352	0.294	0.349	0.161	0.339
Subaru_2018-06-25_2018-07-24.csv 	nan	-9.98E-17	9.98E-17	-9.98E-17	-4.83E-17	9.98E-17
The Holiday Place_2018-06-25_2018-07-24.csv 	0.257	0.22	0.105	0.217	0.00366	0.25
Zalora HK_2018-06-25_2018-07-24.csv	0.0616	0.0793	0.138	0.0947	0.0496	0.0784
Hertz_2018-06-25_2018-07-24.csv 	0.0963	0.205	0.0873	0.149	-0.245	0.314
IAG_2018-06-24_2018-07-23.csv 	0.391	0.432	0.152	0.419	0.18	0.376
Hello Fresh_2018-01-01_2018-07-05.csv 	0.264	0.0386	0.05	0.235	0.208	0.27
Wargaming_2018-06-25_2018-07-24.csv 	0.215	-0.151	0.00497	0.245	-0.276	0.202
