Spearman-score	Word2vec	BOW-TFIDF	Simple encoder-decoder	Google universal encoder 	Skip-Thoughts	InferSent
Digitonomy_2018-06-01_2018-06-30.csv	0.0869	0.00601	0.0812	0.0661	-0.0151	0.0907
HP_2018-06-24_2018-07-23.csv 	0.224	0.285	0.292	0.228	0.33	0.273
Blackhawk Network_2018-06-24_2018-07-23.csv 	nan	nan	nan	nan	nan	nan
HPE_2018-06-25_2018-07-24.csv 	0.0922	0.297	0.0315	0.234	-0.0384	0.136
Samsung_2018-06-25_2018-07-24.csv 	0.192	0.291	0.0907	0.0733	-0.0655	0.0825
Serenata Flowers_2018-06-25_2018-07-24.csv	0.183	0.107	0.0193	0.186	-0.0366	0.145
Snooze_2018-06-25_2018-07-24.csv 	0.521	0.498	0.451	0.481	0.256	0.502
Subaru_2018-06-25_2018-07-24.csv 	nan	nan	nan	nan	nan	nan
The Holiday Place_2018-06-25_2018-07-24.csv 	0.271	0.241	0.135	0.252	0.0087	0.297
Zalora HK_2018-06-25_2018-07-24.csv	0.241	0.242	0.299	0.204	0.0701	0.274
Hertz_2018-06-25_2018-07-24.csv 	-0.0186	0.302	0.205	-0.00611	-0.328	0.175
IAG_2018-06-24_2018-07-23.csv 	0.256	0.362	0.131	0.276	0.0651	0.265
Hello Fresh_2018-01-01_2018-07-05.csv 	0.345	0.143	0.125	0.342	0.147	0.364
Wargaming_2018-06-25_2018-07-24.csv 	0.365	-0.442	-0.0293	0.385	-0.421	0.351
