Variance	Word2vec	BOW-TFIDF	Simple encoder-decoder	Google universal encoder 	Skip-Thoughts	InferSent
Digitonomy_2018-06-01_2018-06-30.csv	0.0005	0.0055	0.0165	-0.0014	-0.0053	0.0171
HP_2018-06-24_2018-07-23.csv 	0.0095	0.0032	0.0088	0.008	0.0089	0.009
Blackhawk Network_2018-06-24_2018-07-23.csv 	0	4.4408	0	0	0	4.4408
HPE_2018-06-25_2018-07-24.csv 	-1.4008	-0.3834	-7.0521	-0.647	-14.503	-0.7934
Samsung_2018-06-25_2018-07-24.csv 	0.0186	0.0019	0.0295	0.01872	0.0016	0.0209
Serenata Flowers_2018-06-25_2018-07-24.csv	0.0323	0.0075	0.0168	0.0184	-0.0014	0.0374
Snooze_2018-06-25_2018-07-24.csv 	0.0758	0.1234	0.0132	0.1008	0.0141	-0.0002
Subaru_2018-06-25_2018-07-24.csv 	0	-4.4408	0	-4.4408	-2.2204	0
The Holiday Place_2018-06-25_2018-07-24.csv 	0.0493	0.0241	0.007	0.036	-0.0016	0.0453
Zalora HK_2018-06-25_2018-07-24.csv	0.0036	0.0022	0.0173	0.0081	0.0015	0.0059
Hertz_2018-06-25_2018-07-24.csv 	-1.26	-0.3593	-3.3895	-2.562	-5.3603	-0.5834
IAG_2018-06-24_2018-07-23.csv 	0.1502	0.0727	-0.0045	0.159	0.0208	0.1416
Hello Fresh_2018-01-01_2018-07-05.csv 	0.0627	-0.0363	0.0022	0.0544	0.0176	0.071
Wargaming_2018-06-25_2018-07-24.csv 	0.0378	-0.0081	-0.0078	0.0343	-0.0096	0.0292
